Date,Open,High,Low,Close,Adj Close,Volume,peak,bottom
2021-03-31,13122.570313,13325.540039,13118.379883,13246.870117,13246.870117,4980670000,13149.549805,12878.719727
2021-04-01,13414.320313,13487.080078,13404.179688,13480.110352000002,13480.110352000002,4553470000,13149.549805,12878.719727
2021-04-05,13594.900391,13720.580078,13582.759766,13705.589844,13705.589844,4439970000,13149.549805,12878.719727
2021-04-06,13681.669922,13776.709961000002,13674.280272999998,13698.379883000001,13698.379883000001,4038510000,13149.549805,12878.719727
2021-04-07,13675.299805,13733.030272999998,13653.589844,13688.839844,13688.839844,4078990000,13149.549805,12878.719727
2021-04-08,13796.889647999998,13830.139647999998,13758.709961000002,13829.30957,13829.30957,4133640000,13776.709961000002,12878.719727
2021-04-09,13787.019531,13905.410156,13748.349609,13900.19043,13900.19043,3906460000,13776.709961000002,12878.719727
2021-04-12,13854.44043,13877.0,13783.950195,13850.0,13850.0,4230160000,13776.709961000002,12878.719727
2021-04-13,13902.450195,14011.509766,13902.450195,13996.099609,13996.099609,4200290000,13905.410156,12878.719727
2021-04-14,14004.080078,14033.629883000001,13839.040038999998,13857.839844,13857.839844,4102380000,13905.410156,12878.719727
2021-04-15,13983.230469,14049.129883000001,13970.419922,14038.759766,14038.759766,4382620000,13905.410156,12878.719727
2021-04-16,14059.110352000002,14062.5,13977.049805,14052.339844,14052.339844,4414640000,13905.410156,12878.719727
2021-04-19,13984.580078,14041.790038999998,13842.570313,13914.769531,13914.769531,4349340000,13905.410156,12878.719727
2021-04-20,13894.459961000002,13927.669922,13698.669922,13786.269531,13786.269531,4229410000,14062.5,12878.719727
2021-04-21,13745.769531,13951.349609,13706.860352000002,13950.219727000002,13950.219727000002,3967090000,14062.5,13842.570313
2021-04-22,13952.570313,14015.870116999999,13771.040038999998,13818.410156,13818.410156,4397030000,14062.5,13842.570313
2021-04-23,13861.370116999999,14062.740234,13856.830078,14016.80957,14016.80957,4332500000,14062.5,13842.570313
2021-04-26,14052.379883000001,14154.030272999998,14019.5,14138.780272999998,14138.780272999998,4479480000,14062.5,13842.570313
2021-04-27,14170.910156,14171.240234,14064.280272999998,14090.219727000002,14090.219727000002,4665430000,14062.5,13842.570313
2021-04-28,14082.780272999998,14133.650391,14034.700195,14051.030272999998,14051.030272999998,4532050000,14062.5,13842.570313
2021-04-29,14204.509766,14211.570313,13952.799805,14082.549805,14082.549805,4854340000,14171.240234,13842.570313
