Date,EUR
2016-01-01,1.0856
2015-12-31,1.0862
2015-12-30,1.0933
2015-12-29,1.092
2015-12-28,1.0968
2015-12-25,1.096
2015-12-24,1.0963
2015-12-23,1.0912
2015-12-22,1.0957
2015-12-21,1.0915
2015-12-18,1.0868
2015-12-17,1.0826
2015-12-16,1.0912
2015-12-15,1.0931
2015-12-14,1.0992
2015-12-11,1.0986
2015-12-10,1.0941
2015-12-09,1.1025
2015-12-08,1.0892
2015-12-07,1.0837
2015-12-04,1.0881
2015-12-03,1.094
2015-12-02,1.0615
2015-12-01,1.0633
2015-11-30,1.0565
2015-11-27,1.0593
2015-11-26,1.061
2015-11-25,1.0624
2015-11-24,1.0643
2015-11-23,1.0636
2015-11-20,1.0646
2015-11-19,1.0734
2015-11-18,1.066
2015-11-17,1.0642
2015-11-16,1.0686
2015-11-13,1.0773
2015-11-12,1.0814
2015-11-11,1.0743
2015-11-10,1.0724
2015-11-09,1.0752
2015-11-06,1.0741
2015-11-05,1.0884
2015-11-04,1.0866
2015-11-03,1.0964
2015-11-02,1.1016
2015-10-30,1.1006
2015-10-29,1.0977
2015-10-28,1.0923
2015-10-27,1.1051
2015-10-26,1.1058
2015-10-23,1.1018
2015-10-22,1.1109
2015-10-21,1.1339
2015-10-20,1.1346
2015-10-19,1.1327
2015-10-16,1.1348
2015-10-15,1.1386
2015-10-14,1.1474
2015-10-13,1.1379
2015-10-12,1.1358
2015-10-09,1.1358
2015-10-08,1.1276
2015-10-07,1.1237
2015-10-06,1.1272
2015-10-05,1.1188
2015-10-02,1.1216
2015-10-01,1.1195
2015-09-30,1.1177
2015-09-29,1.1249
2015-09-28,1.1244
2015-09-25,1.1195
2015-09-24,1.123
2015-09-23,1.1186
2015-09-22,1.112
2015-09-21,1.119
2015-09-18,1.1298
2015-09-17,1.1435
2015-09-16,1.129
2015-09-15,1.1269
2015-09-14,1.1317
2015-09-11,1.1338
2015-09-10,1.128
2015-09-09,1.1207
2015-09-08,1.1203
2015-09-07,1.117
2015-09-04,1.1149
2015-09-03,1.1123
2015-09-02,1.1227
2015-09-01,1.1315
2015-08-31,1.1211
2015-08-28,1.1185
2015-08-27,1.1246
2015-08-26,1.1314
2015-08-25,1.1517
2015-08-24,1.1619
2015-08-21,1.1386
2015-08-20,1.1242
2015-08-19,1.112
2015-08-18,1.1024
2015-08-17,1.1078
2015-08-14,1.1109
2015-08-13,1.115
2015-08-12,1.1159
2015-08-11,1.1042
2015-08-10,1.1019
2015-08-07,1.0967
2015-08-06,1.0925
2015-08-05,1.0906
2015-08-04,1.0881
2015-08-03,1.095
2015-07-31,1.0984
2015-07-30,1.0932
2015-07-29,1.0984
2015-07-28,1.106
2015-07-27,1.1088
2015-07-24,1.0984
2015-07-23,1.0984
2015-07-22,1.0929
2015-07-21,1.0935
2015-07-20,1.0825
2015-07-17,1.083
2015-07-16,1.0875
2015-07-15,1.095
2015-07-14,1.1009
2015-07-13,1.1002
2015-07-10,1.1162
2015-07-09,1.1036
2015-07-08,1.1077
2015-07-07,1.1011
2015-07-06,1.1056
2015-07-03,1.1114
2015-07-02,1.1084
2015-07-01,1.1053
2015-06-30,1.1147
2015-06-29,1.1236
2015-06-26,1.1167
2015-06-25,1.1205
2015-06-24,1.1205
2015-06-23,1.1167
2015-06-22,1.1341
2015-06-19,1.1352
2015-06-18,1.1359
2015-06-17,1.1337
2015-06-16,1.1248
2015-06-15,1.1283
2015-06-12,1.1266
2015-06-11,1.1258
2015-06-10,1.1324
2015-06-09,1.1283
2015-06-08,1.1291
2015-06-05,1.1114
2015-06-04,1.1238
2015-06-03,1.1275
2015-06-02,1.1151
2015-06-01,1.0927
2015-05-29,1.0986
2015-05-28,1.0949
2015-05-27,1.0904
