Date,SEK
2021-04-07,8.6266
2021-04-06,8.6145
2021-04-05,8.7017
2021-04-02,8.7267
2021-04-01,8.7139
2021-03-31,8.7301
2021-03-30,8.7368
2021-03-29,8.6979
2021-03-26,8.6386
2021-03-25,8.6542
2021-03-24,8.6125
2021-03-23,8.5931
2021-03-22,8.5108
2021-03-19,8.5421
2021-03-18,8.5185
2021-03-17,8.4526
2021-03-16,8.4975
2021-03-15,8.5142
2021-03-12,8.4818
2021-03-11,8.4471
2021-03-10,8.4787
2021-03-09,8.5001
2021-03-08,8.5847
2021-03-05,8.5368
2021-03-04,8.4925
2021-03-03,8.4226
2021-03-02,8.3799
2021-03-01,8.4258
2021-02-26,8.4372
2021-02-25,8.2906
2021-02-24,8.2755
2021-02-23,8.2816
2021-02-22,8.2642
2021-02-19,8.2752
2021-02-18,8.3115
2021-02-17,8.3288
2021-02-16,8.2932
2021-02-15,8.2819
2021-02-12,8.3019
2021-02-11,8.3234
2021-02-10,8.3203
2021-02-09,8.323
2021-02-08,8.3888
2021-02-05,8.3712
2021-02-04,8.4646
2021-02-03,8.4036
2021-02-02,8.3974
2021-02-01,8.4276
2021-01-29,8.3656
2021-01-28,8.336
2021-01-27,8.3592
2021-01-26,8.3
2021-01-25,8.2825
2021-01-22,8.298
2021-01-21,8.2719
2021-01-20,8.353
2021-01-19,8.3494
2021-01-18,8.3915
2021-01-15,8.3983
2021-01-14,8.3086
2021-01-13,8.3477
2021-01-12,8.245
2021-01-11,8.3054
2021-01-08,8.2414
2021-01-07,8.1881
2021-01-06,8.1665
2021-01-05,8.1797
2021-01-04,8.2545
2021-01-01,8.2162
2020-12-31,8.2273
2020-12-30,8.1973
2020-12-29,8.2044
2020-12-28,8.2759
2020-12-25,8.2838
2020-12-24,8.2591
2020-12-23,8.2914
2020-12-22,8.3428
2020-12-21,8.2471
2020-12-18,8.2531
2020-12-17,8.2745
2020-12-16,8.3531
2020-12-15,8.383
2020-12-14,8.4044
2020-12-11,8.4583
2020-12-10,8.4438
2020-12-09,8.4855
2020-12-08,8.4737
2020-12-07,8.401
2020-12-04,8.4562
2020-12-03,8.4506
2020-12-02,8.4679
2020-12-01,8.4781
2020-11-30,8.5736
2020-11-27,8.4992
2020-11-26,8.5251
2020-11-25,8.4966
2020-11-24,8.5482
2020-11-23,8.6283
2020-11-20,8.6212
2020-11-19,8.597
2020-11-18,8.6009
