Date,Open,High,Low,Close,Adj Close,Volume
2017-04-13,8.969700,9.034350,8.945100,8.970690,8.970690,0
2017-04-14,9.035340,9.045810,9.018250,9.035520,9.035520,0
2017-04-17,9.036110,9.039340,8.976240,9.036560,9.036560,0
2017-04-18,8.998310,9.008780,8.951200,8.998970,8.998970,0
2017-04-19,8.961330,8.988500,8.942000,8.960660,8.960660,0
2017-04-20,8.969950,8.978210,8.921840,8.968810,8.968810,0
2017-04-21,8.985240,9.031980,8.970600,8.986840,8.986840,0
2017-04-24,8.837410,8.884340,8.798400,8.838100,8.838100,0
2017-04-25,8.856530,8.875440,8.771900,8.857500,8.857500,0
2017-04-26,8.767880,8.798480,8.747720,8.768750,8.768750,0
2017-04-27,8.756400,8.872010,8.747480,8.755700,8.755700,0
2017-04-28,8.836090,8.864690,8.802100,8.837160,8.837160,0
2017-05-01,8.843420,8.857270,8.811100,8.843160,8.843160,0
2017-05-02,8.839870,8.855330,8.817900,8.841000,8.841000,0
2017-05-03,8.797060,8.830400,8.793800,8.797800,8.797800,0
2017-05-04,8.843420,8.858890,8.806800,8.842400,8.842400,0
2017-05-05,8.830120,8.847110,8.783600,8.831770,8.831770,0
2017-05-08,8.818870,8.847740,8.782500,8.821450,8.821450,0
2017-05-09,8.836620,8.901570,8.831600,8.837720,8.837720,0
2017-05-10,8.877220,8.926370,8.866200,8.877400,8.877400,0
2017-05-11,8.924820,8.929310,8.843010,8.922120,8.922120,0
2017-05-12,8.879260,8.899110,8.830800,8.880480,8.880480,0
2017-05-15,8.837820,8.855910,8.808600,8.837590,8.837590,0
2017-05-16,8.826420,8.862100,8.769980,8.826510,8.826510,0
2017-05-17,8.775800,8.788500,8.738110,8.775840,8.775840,0
2017-05-18,8.735310,8.793340,8.723300,8.734000,8.734000,0
2017-05-19,8.793400,8.804730,8.734860,8.795620,8.795620,0
2017-05-22,8.722800,8.739190,8.692520,8.724410,8.724410,0
2017-05-23,8.692900,8.708980,8.653870,8.690880,8.690880,0
2017-05-24,8.707050,8.722880,8.683500,8.708420,8.708420,0
2017-05-25,8.659600,8.681230,8.639700,8.661230,8.661230,0
2017-05-26,8.689400,8.710210,8.659600,8.689710,8.689710,0
2017-05-29,8.686450,8.705390,8.678330,8.686320,8.686320,0
2017-05-30,8.731350,8.765570,8.720000,8.731200,8.731200,0
2017-05-31,8.730030,8.743050,8.672380,8.731100,8.731100,0
2017-06-01,8.694170,8.722870,8.675900,8.692530,8.692530,0
2017-06-02,8.681380,8.695090,8.630600,8.680380,8.680380,0
2017-06-05,8.626610,8.685590,8.620200,8.623220,8.623220,0
2017-06-06,8.652130,8.684540,8.636400,8.652940,8.652940,0
2017-06-07,8.671680,8.734890,8.661800,8.671650,8.671650,0
2017-06-08,8.684800,8.733380,8.673600,8.687040,8.687040,0
2017-06-09,8.725100,8.754660,8.706100,8.732430,8.732430,0
2017-06-12,8.710570,8.748890,8.696300,8.712430,8.712430,0
2017-06-13,8.746250,8.756140,8.670400,8.748140,8.748140,0
2017-06-14,8.689170,8.699630,8.623500,8.690200,8.690200,0
2017-06-15,8.703600,8.767250,8.691800,8.705690,8.705690,0
2017-06-16,8.750910,8.764640,8.685900,8.751670,8.751670,0
2017-06-19,8.693500,8.735990,8.686900,8.694270,8.694270,0
2017-06-20,8.746510,8.798850,8.722300,8.746370,8.746370,0
2017-06-21,8.778990,8.789500,8.752700,8.775100,8.775100,0
2017-06-22,8.746310,8.754190,8.724400,8.747060,8.747060,0
2017-06-23,8.754550,8.760190,8.703900,8.751000,8.751000,0
2017-06-26,8.711800,8.733110,8.696770,8.712980,8.712980,0
2017-06-27,8.718340,8.724210,8.612540,8.715100,8.715100,0
2017-06-28,8.609770,8.632200,8.544800,8.606600,8.606600,0
2017-06-29,8.541110,8.541240,8.479600,8.537730,8.537730,0
2017-06-30,8.455000,8.481890,8.417600,8.455300,8.455300,0
2017-07-03,8.423470,8.486570,8.420500,8.423610,8.423610,0
2017-07-04,8.482800,8.547800,8.478000,8.484030,8.484030,0
2017-07-05,8.512120,8.529360,8.485500,8.509300,8.509300,0
2017-07-06,8.495050,8.504260,8.446600,8.492100,8.492100,0
2017-07-07,8.439980,8.452480,8.417090,8.437150,8.437150,0
2017-07-10,8.420100,8.451960,8.416500,8.423200,8.423200,0
2017-07-11,null,null,null,null,null,null
2017-07-12,8.392200,8.439910,8.382800,8.397290,8.397290,0
2017-07-13,8.409600,8.409600,8.351900,8.405600,8.405600,0
2017-07-14,8.350200,8.362680,8.314640,8.353171,8.353171,0
2017-07-17,8.303300,8.340330,8.296600,8.306410,8.306410,0
2017-07-18,8.294100,8.297440,8.247900,8.296520,8.296520,0
2017-07-19,8.303890,8.309720,8.274200,8.303410,8.303410,0
2017-07-20,8.304910,8.335440,8.223000,8.305500,8.305500,0
2017-07-21,8.222290,8.268400,8.203920,8.221480,8.221480,0
2017-07-24,8.229790,8.255150,8.217300,8.230130,8.230130,0
2017-07-25,8.215680,8.219820,8.164800,8.215790,8.215790,0
2017-07-26,8.207170,8.233700,8.196900,8.207580,8.207580,0
2017-07-27,8.171800,8.234480,8.138910,8.174490,8.174490,0
2017-07-28,8.208770,8.221350,8.105700,8.210200,8.210200,0
2017-07-31,8.107860,8.139850,8.075811,8.106760,8.106760,0
2017-08-01,8.076511,8.118850,8.066900,8.077380,8.077380,0
2017-08-02,8.110510,8.122630,8.085030,8.109610,8.109610,0
2017-08-03,8.102480,8.117940,8.080160,8.101500,8.101500,0
2017-08-04,8.092530,8.170800,8.079200,8.092140,8.092140,0
2017-08-07,8.146890,8.165740,8.121440,8.143620,8.143620,0
